Metric,Informer,HPA,Naive
Θ_U (Under-provisioning %),0.13273538779799407,70.94354594238658,0.15444387777411894
Θ_O (Over-provisioning %),1.5590611188848937,0.0,0.24569062834368954
T_U (Time Under %),0.7265419693924873,99.92270830112845,0.7730364873222016
T_O (Time Over %),4.714793631164013,0.0,0.448361162646877
