Metric,Informer,HPA,Winner
R²,0.9801872397732763,-2.0413636721850574,Informer
RMSE,0.34003438560790217,4.212932705214681,Informer
MAE,0.23806624781829272,3.4532385221827178,Informer
Exact Match (%),94.5586643994435,0.07729169887154119,Informer
Within ±1 (%),99.10341629309012,20.4513835214098,Informer
Under-provisioning,53.0,22339.0,Informer
Over-provisioning,357.0,0.0,HPA
