Method,R²,MAE,Exact Match (%)
Informer,0.9801872397732763,0.23806624781829272,94.5586643994435
Naive (t-1),0.9956021152812625,0.016697588126159554,98.77860235003092
Moving Avg,0.9912542514499478,0.03340550572223941,97.58738014228271
Linear Trend,0.21022522496984508,1.689490012717484,18.735507806461584
