Metric,Value
R²,0.9801872397732763
RMSE,0.34003438560790217
MAE,0.23806624781829272
MAPE (%),6.612752460905323
Exact Match (%),94.5586643994435
Within ±1 (%),99.10341629309012
Within ±2 (%),100.0
Under-pred (%),0.7265419693924873
Over-pred (%),4.714793631164013
